,ALDERMEN,ATTENDANTS.EDWARD,ATTENDANTS.EDWARD.1,Bourbon,Clarence,Clifford,EdwardIV,EdwardV.Infant,Exeter,Father,GAMEKEEPERS.1,GAMEKEEPERS.2,Hastings,HenryVI,HenryVII,HughMortimer,Huntsman,JohnMortimer,KingLewis,LadyBona,Lieutenant,MESSENGERS.1,MESSENGERS.2,MESSENGERS.Post,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,MESSENGERS.X.5,MayorOfCoventry,MayorOfYork,Montague,Montgomery,Norfolk,Northumberland,Nurse,Oxford,Pembroke,PrinceEdward,QueenElizabeth,QueenMargaret,RichardIII,Rivers,Rutland,SOLDIERS.CLARENCE,SOLDIERS.FRENCH,SOLDIERS.LANCASTER,SOLDIERS.MONTAGUE,SOLDIERS.MONTGOMERY,SOLDIERS.OXFORD,SOLDIERS.SOMERSET,SOLDIERS.WARWICK,SOLDIERS.YORK,SOLDIERS.YORK.0.2,Somerset,Somerville,Son,Stafford,Stanley,Tutor,WATCHMEN.1,WATCHMEN.2,WATCHMEN.3,Warwick,Westmorland,York
SOLDIERS.MONTGOMERY,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.OXFORD,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SOLDIERS.SOMERSET,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
SOLDIERS.WARWICK,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0
SOLDIERS.YORK,67.0,0.0,0.0,0.0,344.0,201.0,810.0,0.0,47.0,0.0,0.0,0.0,119.0,147.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,99.0,67.0,375.0,49.0,175.0,119.0,0.0,74.0,0.0,189.0,0.0,200.0,789.0,0.0,0.0,38.0,0.0,35.0,3.0,49.0,2.0,4.0,115.0,0.0,73.0,28.0,99.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,470.0,19.0,75.0
SOLDIERS.YORK.0.2,0.0,47.0,0.0,0.0,128.0,0.0,128.0,47.0,0.0,0.0,0.0,0.0,47.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,73.0,47.0,73.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somerset,0.0,119.0,0.0,0.0,308.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,119.0,90.0,105.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,217.0,0.0,0.0,0.0,0.0,289.0,119.0,82.0,119.0,90.0,155.0,0.0,0.0,0.0,67.0,82.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,0.0,4.0,0.0,119.0,0.0,0.0,5.0,5.0,5.0,184.0,0.0,0.0
Somerville,0.0,0.0,0.0,0.0,38.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,38.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,99.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0
Son,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stafford,0.0,128.0,0.0,0.0,119.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
