,ATTENDANTS,ATTENDANTS.0,ATTENDANTS.0.1,ATTENDANTS.RICHMOND,Archbishop,BISHOPS,BishopOfEly,Blunt,Brakenbury,Brandon,Buckingham,CITIZENS,CITIZENS.0,Cardinal,Catesby,Clarence,ClarencesBoy,ClarencesDaughter,Dorset,DuchessOfYork,EdwardIV,EdwardV,GENTLEMEN,GUARDS,Grey,Hastings,HenryVI,HenryVII,Herbert,Jailer,LadyAnne,Lovell,MESSENGERS.1,MESSENGERS.2,MESSENGERS.3,MESSENGERS.4,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MURDERERS.1,MURDERERS.2,MayorOfLondon,Norfolk,Oxford,PrinceEdward,Pursuivant,QueenElizabeth,QueenMargaret,Ratcliffe,RichardIII,Rivers,SOLDIERS.RICHARD,SOLDIERS.RICHMOND,Scales,Scrivener,Sheriff,SirChristopher,SirJohn,Stanley,Surrey,Tyrrel,Vaughan,Woodeville,York
GENTLEMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,246,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUARDS,0,56,0,0,0,0,0,0,78,0,30,0,30,0,0,78,0,0,0,0,0,0,246,0,26,0,246,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,291,26,0,0,0,0,30,0,0,0,0,0,26,0,0
Grey,0,33,0,0,0,0,0,0,0,0,463,0,7,0,5,0,0,0,480,0,137,0,0,26,0,438,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,209,116,398,513,7,0,137,0,0,0,0,366,0,0,33,137,0
Hastings,175,329,0,0,0,0,69,0,0,0,655,0,5,95,161,0,47,47,485,47,137,95,0,0,438,0,0,5,0,0,0,109,0,0,0,0,0,30,0,0,0,95,80,0,0,13,485,209,246,603,485,5,0,137,0,0,0,5,491,0,0,0,137,58
HenryVI,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,246,246,0,0,0,7,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,7,0,0,0,0,0,0,0,0,0,0,0,0
HenryVII,0,332,0,91,0,0,0,52,0,94,11,0,332,0,17,9,0,0,94,0,0,9,0,0,7,5,7,0,119,0,9,0,0,0,0,0,0,0,0,0,0,0,11,119,8,0,0,0,52,186,7,186,96,0,0,0,0,0,70,0,0,7,0,9
Herbert,0,119,0,0,0,0,0,52,0,94,0,0,119,0,17,0,0,0,94,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,119,0,0,0,0,35,64,0,64,55,0,0,0,0,0,29,0,0,0,0,0
Jailer,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LadyAnne,0,119,0,0,0,0,0,0,17,0,0,0,119,0,0,0,0,110,110,110,0,0,244,244,0,0,244,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,220,0,9,0,0,0,0,0,0,81,0,0,0,0,0
Lovell,203,319,44,0,0,0,69,0,0,0,212,0,123,0,62,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,80,0,0,0,0,0,319,252,0,0,0,0,0,0,0,0,155,0,17,0,0,0
MESSENGERS.1,42,42,0,0,0,0,0,0,0,0,0,0,42,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,21,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSENGERS.2,37,37,0,0,0,0,0,0,0,0,0,0,37,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,34,21,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSENGERS.3,34,34,0,0,0,0,0,0,0,0,0,0,34,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,21,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSENGERS.4,21,21,0,0,0,0,0,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSENGERS.X.1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
MESSENGERS.X.2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSENGERS.X.3,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
MURDERERS.1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MURDERERS.2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MayorOfLondon,135,386,0,0,0,154,0,0,0,0,380,193,21,101,315,0,0,0,0,0,0,135,0,0,0,95,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,347,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Norfolk,80,185,0,0,0,0,69,0,0,11,63,0,105,0,17,0,0,0,11,0,0,0,0,0,0,80,0,11,11,0,0,80,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,179,141,0,105,0,0,0,0,0,0,80,19,0,0,0,0
