,AEDILES,AEDILES.X.1,AEDILES.X.2,AEDILES.X.3,ATTENDANTS.ROMAN,ATTENDANTS.VOLSCIAN,Adrian,Aufidius,CITIZENS.ANTIUM.1,CITIZENS.ROMAN,CITIZENS.ROMAN.1,CITIZENS.ROMAN.2,CITIZENS.ROMAN.3,CITIZENS.ROMAN.4,CITIZENS.ROMAN.5,CITIZENS.ROMAN.6,CITIZENS.ROMAN.7,CITIZENS.ROMAN.8,CITIZENS.VOLSCIAN,CONSPIRATORS,Cominius,Coriolanus,Gentlewoman,Herald,LICTORS,LORDS.VOLSCIAN,Lartius,MESSENGERS.TRIBUNES.1,MESSENGERS.TRIBUNES.2,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MESSENGERS.X.4,Menenius,NOBLES,Nicanor,OFFICERS.1,OFFICERS.2,SENATORS.ROMAN,SENATORS.VOLSCIAN,SERVANTS.1,SERVANTS.2,SERVANTS.3,SOLDIERS.ROMAN,SOLDIERS.ROMAN.0,SOLDIERS.ROMAN.Lieutenant,SOLDIERS.ROMAN.Scout,SOLDIERS.ROMAN.Trumpeter,SOLDIERS.VOLSCIAN,SOLDIERS.VOLSCIAN.Lieutenant,TRIBUNES.Brutus,TRIBUNES.Sicinius,Usher,Valeria,Virgilia,Volumnia,WATCHMEN.1,WATCHMEN.2,YoungMartius
MESSENGERS.X.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menenius,155.0,1.0,115.0,142.0,0.0,0.0,0.0,37.0,0.0,540.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,949.0,970.0,0.0,57.0,147.0,0.0,381.0,149.0,122.0,41.0,0.0,0.0,0.0,0.0,217.0,0.0,147.0,147.0,746.0,0.0,0.0,0.0,0.0,57.0,1682.0,0.0,0.0,0.0,0.0,0.0,1205.0,1273.0,0.0,124.0,254.0,393.0,114.0,114.0,0.0
NOBLES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,223.0,0.0,0.0,0.0
Nicanor,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICERS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,87.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,183.0,147.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICERS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,87.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,183.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENATORS.ROMAN,60.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,686.0,0.0,0.0,147.0,0.0,324.0,0.0,0.0,36.0,0.0,0.0,0.0,746.0,148.0,0.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,0.0,0.0,0.0,0.0,0.0,573.0,573.0,0.0,8.0,8.0,147.0,0.0,0.0,0.0
SENATORS.VOLSCIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,104.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,90.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,90.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.ROMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,309.0,0.0,57.0,0.0,0.0,225.0,0.0,0.0,0.0,40.0,16.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,151.0,9.0,9.0,5.0,16.0,0.0,57.0,57.0,0.0,57.0,57.0,57.0,0.0,0.0,0.0
SOLDIERS.ROMAN.0,155.0,1.0,160.0,150.0,210.0,9.0,53.0,663.0,10.0,321.0,189.0,189.0,189.0,193.0,193.0,179.0,179.0,179.0,102.0,176.0,1021.0,1588.0,0.0,57.0,147.0,115.0,439.0,157.0,130.0,0.0,0.0,0.0,14.0,1682.0,246.0,53.0,183.0,183.0,718.0,0.0,245.0,236.0,104.0,151.0,0.0,0.0,0.0,0.0,36.0,61.0,1480.0,1548.0,0.0,342.0,472.0,626.0,117.0,117.0,210.0
