,ATTENDANTS,ATTENDANTS.ALCIBIADES,ATTENDANTS.TIMON,Alcibiades,Apemantus,BANDITS.1,BANDITS.2,BANDITS.3,Cupid,FRIENDS,FRIENDS.Lucius,FRIENDS.Lucullus,FRIENDS.Sempronius,FRIENDS.Ventidius,Flavius,Fool,Jeweler,LADIES,LORDS,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,Merchant,OldMan,Painter,Phrynia,Poet,SENATORS,SENATORS.1,SENATORS.2,SENATORS.3,SENATORS.4,SENATORS.X,SERVANTS.Caphis,SERVANTS.Hortensius,SERVANTS.ISIDORE.1,SERVANTS.LUCIUS.1,SERVANTS.LUCULLUS.1,SERVANTS.Page,SERVANTS.Philotus,SERVANTS.TIMON,SERVANTS.TIMON.0,SERVANTS.TIMON.1,SERVANTS.TIMON.2,SERVANTS.TIMON.3,SERVANTS.TIMON.Flaminius,SERVANTS.TIMON.Lucilius,SERVANTS.TIMON.Servilius,SERVANTS.TIMON.X.1,SERVANTS.TIMON.X.2,SERVANTS.Titus,SERVANTS.VARRO.1,SERVANTS.VARRO.2,SOLDIERS,SOLDIERS.1,STRANGERS.1,STRANGERS.2,STRANGERS.3,Timandra,Timon
SERVANTS.Titus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,115.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,39.0,0.0,0.0,0.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
SERVANTS.VARRO.1,28.0,0.0,0.0,28.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,115.0,127.0,115.0,0.0,15.0,107.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,39.0,0.0,0.0,115.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
SERVANTS.VARRO.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,115.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,39.0,0.0,0.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
SOLDIERS,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
SOLDIERS.1,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
STRANGERS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0
STRANGERS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,94.0,0.0,0.0
STRANGERS.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0
Timandra,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0
Timon,28.0,12.0,246.0,433.0,579.0,66.0,66.0,66.0,36.0,82.0,246.0,0.0,0.0,246.0,590.0,3.0,181.0,27.0,246.0,17.0,4.0,0.0,181.0,49.0,295.0,147.0,295.0,427.0,106.0,106.0,0.0,0.0,0.0,45.0,22.0,45.0,22.0,0.0,0.0,22.0,267.0,821.0,3.0,5.0,7.0,9.0,66.0,31.0,7.0,9.0,22.0,67.0,22.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0
