,ATTENDANTS.PERICLES,ATTENDANTS.PERICLES.1,ATTENDANTS.SIMONIDES,Antiochus,Bawd,Bolt,CITIZENS.TARSUS,Cerimon,Cleon,Companion,Daughter,Diana,Dionyza,FISHERMEN.1,FISHERMEN.2,FISHERMEN.3,FOLLOWERS.ANTIOCHUS,GENTLEMEN.EPHESUS.1,GENTLEMEN.EPHESUS.2,GENTLEMEN.MYTILENE.1,GENTLEMEN.MYTILENE.2,GENTLEMEN.TYRE,Gower,Helicanus,KNIGHTS,LADIES.PENTAPOLIS,LORDS.MYTILENE,LORDS.MYTILENE.0.1,LORDS.PENTAPOLIS,LORDS.TARSUS.1,LORDS.TYRE,LORDS.TYRE.Escanes,Leonine,Lychorida,Lysimachus,MESSENGERS.ANTIOCH.1,Marina,Marina.Infant,Marshal,PIRATES,PRIESTESSES,Pander,Pericles,Philemon,SAILORS.1,SAILORS.2,SAILORS.MYTILENE.1,SAILORS.TYRE.1,SERVANTS.CERIMON,SERVANTS.CERIMON.0.2,SUPPLIANTS.1,SUPPLIANTS.2,Simonides,Thaisa,Thaliard
LORDS.TYRE.Escanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
Lychorida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,108.0,0.0,33.0,33.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Lysimachus,114.0,0.0,0.0,0.0,52.0,57.0,0.0,98.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,374.0,0.0,0.0,260.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,98.0,44.0,347.0,0.0,0.0,0.0,260.0,260.0,0.0,486.0,0.0,0.0,0.0,98.0,0.0
MESSENGERS.ANTIOCH.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Marina,114.0,0.0,0.0,0.0,163.0,196.0,0.0,98.0,0.0,201.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,315.0,0.0,0.0,201.0,315.0,0.0,0.0,0.0,0.0,90.0,0.0,402.0,0.0,0.0,0.0,0.0,20.0,98.0,64.0,315.0,0.0,0.0,0.0,201.0,201.0,0.0,690.0,0.0,0.0,0.0,98.0,0.0
Marina.Infant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,45.0,45.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Marshal,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0
PIRATES,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
PRIESTESSES,98.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,98.0,0.0
