,ALDERMEN,ATTENDANTS,Abergavenny,Anne,BISHOPS,BishopOfLincoln,Brandon,Buckingham,Butts,COMMONERS,Campeius,Capuchius,Chamberlain,Chancellor,Cranmer,Crier,Cromwell,Denny,ElizabethI.Infant,Epilogue,GENTLEMEN,GENTLEMEN.1,GENTLEMEN.2,GENTLEMEN.3,GENTLEMEN.X,GUARDS,Gardiner,Garter,Griffith,Guilford,HenryVIII,Katherine,Keeper,LADIES,LADIES.KATHERINE,LADIES.KATHERINE.Patience,LORDS,LordMayor,Lovell,MASKERS,Messenger,NOBLES,Norfolk,OldLady,Page,Porter,Prologue,SECRETARIES,SECRETARIES.X.1,SERVANTS,SERVANTS.PORTER.1,SERVANTS.X.1,Sands,Scribe,Sergeant,Suffolk,Surrey,Surveyor,Usher,Vaux,Wolsey
SECRETARIES,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
SECRETARIES.X.1,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,124.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,124.0
SERVANTS,0.0,101.0,0.0,101.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,312.0,214.0,258.0,0.0,214.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,101.0,214.0,0.0,0.0,101.0,157.0,0.0,253.0,101.0,0.0,0.0,0.0,0.0,101.0,61.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,101.0,0.0,0.0,214.0,214.0,0.0,0.0,0.0,101.0
SERVANTS.PORTER.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.X.1,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Sands,0.0,101.0,0.0,137.0,0.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,86.0,86.0,0.0,0.0,86.0,0.0,0.0,0.0,137.0,61.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,289.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,101.0
Scribe,0.0,266.0,0.0,0.0,266.0,266.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,148.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,266.0
Sergeant,0.0,0.0,39.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,86.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,669.0,214.0,300.0,0.0,229.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,214.0,86.0,0.0,0.0,569.0,239.0,214.0,86.0,0.0,0.0,86.0,86.0,380.0,0.0,0.0,239.0,1024.0,0.0,0.0,0.0,0.0,0.0,116.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,123.0,0.0,0.0,551.0
Surrey,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,214.0,214.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,214.0,0.0,0.0,0.0,189.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0,0.0,0.0,294.0
Surveyor,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,123.0
Usher,0.0,148.0,0.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0
Vaux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolsey,0.0,727.0,7.0,101.0,266.0,266.0,0.0,7.0,0.0,0.0,526.0,0.0,392.0,0.0,0.0,266.0,114.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,7.0,25.0,0.0,0.0,101.0,770.0,564.0,0.0,101.0,177.0,0.0,266.0,0.0,461.0,61.0,0.0,247.0,558.0,0.0,0.0,0.0,0.0,7.0,124.0,101.0,0.0,11.0,101.0,266.0,0.0,551.0,294.0,123.0,148.0,0.0,0.0
