,ATTENDANTS,ATTENDANTS.GAUNT,ATTENDANTS.HENRY,AbbotOfWestminster,Aumerle,Bagot,Berkeley,BishopOfCarlisle,Bushy,DuchessOfGloucester,DuchessOfYork,Exton,Fitzwater,Gardener,Gaunt,Green,Groom,HERALDS.1,HERALDS.2,HERALDS.X,HenryIV,Hotspur,Jailer,LADIES,LORDS,LORDS.1,LordMarshal,Mowbray,Northumberland,OFFICERS,OFFICERS.0,OFFICERS.0.1,Queen,RichardII,Ross,SERVANTS.EXTON,SERVANTS.GARDENER.1,SERVANTS.GARDENER.2,SERVANTS.YORK.1,SOLDIERS.HENRY,SOLDIERS.RICHARD,Salisbury,Scroop,Surrey,WelshCaptain,Willoughby,York
SERVANTS.GARDENER.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.YORK.1,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
SOLDIERS.HENRY,0.0,0.0,220.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0
SOLDIERS.RICHARD,0.0,0.0,0.0,0.0,226.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,134.0,0.0,0.0,0.0,0.0
Salisbury,0.0,0.0,0.0,0.0,163.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,134.0,0.0,17.0,0.0,0.0
Scroop,0.0,0.0,0.0,0.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0
Surrey,0.0,0.0,0.0,333.0,333.0,332.0,0.0,333.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,333.0,333.0,0.0,0.0,0.0,333.0,0.0,0.0,333.0,333.0,330.0,47.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
WelshCaptain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
Willoughby,0.0,71.0,0.0,0.0,158.0,158.0,105.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,71.0,158.0,0.0,0.0,0.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,158.0,158.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0
York,0.0,145.0,220.0,218.0,711.0,420.0,92.0,252.0,239.0,0.0,193.0,15.0,258.0,0.0,145.0,239.0,0.0,0.0,0.0,218.0,737.0,544.0,0.0,0.0,47.0,218.0,0.0,0.0,685.0,218.0,216.0,329.0,202.0,464.0,241.0,23.0,0.0,0.0,27.0,220.0,0.0,0.0,0.0,218.0,0.0,241.0,0.0
